"date","corn_cents","corn_usd"
2015-01-02,395.75,3.9575
2015-01-05,406,4.06
2015-01-06,405,4.05
2015-01-07,396.25,3.9625
2015-01-08,394.25,3.9425
2015-01-09,400.25,4.0025
2015-01-12,402,4.02
2015-01-13,385.75,3.8575
2015-01-14,381,3.81
2015-01-15,380,3.8
2015-01-16,387,3.87
2015-01-20,390.25,3.9025
2015-01-21,388,3.88
2015-01-22,383.75,3.8375
2015-01-23,386.75,3.8675
2015-01-26,384,3.84
2015-01-27,381.25,3.8125
2015-01-28,373.25,3.7325
2015-01-29,371.5,3.715
2015-01-30,370,3.7
2015-02-02,369.75,3.6975
2015-02-03,385.75,3.8575
2015-02-04,383.5,3.835
2015-02-05,385.25,3.8525
2015-02-06,385.75,3.8575
2015-02-09,391.25,3.9125
2015-02-10,388,3.88
2015-02-11,385.75,3.8575
2015-02-12,383,3.83
2015-02-13,387.25,3.8725
2015-02-17,389.5,3.895
2015-02-18,383.75,3.8375
2015-02-19,389.75,3.8975
2015-02-20,385.25,3.8525
2015-02-23,378.75,3.7875
2015-02-24,377.5,3.775
2015-02-25,375.75,3.7575
2015-02-26,380,3.8
2015-02-27,384.5,3.845
2015-03-02,378.75,3.7875
2015-03-03,382,3.82
2015-03-04,381.5,3.815
2015-03-05,382.75,3.8275
2015-03-06,379.25,3.7925
2015-03-09,383.25,3.8325
2015-03-10,382.25,3.8225
2015-03-11,384,3.84
2015-03-12,382.25,3.8225
2015-03-13,374,3.74
2015-03-16,379,3.79
2015-03-17,371,3.71
2015-03-18,374.75,3.7475
2015-03-19,373.5,3.735
2015-03-20,385,3.85
2015-03-23,390.25,3.9025
2015-03-24,393.25,3.9325
2015-03-25,395,3.95
2015-03-26,391.25,3.9125
2015-03-27,391,3.91
2015-03-30,394.5,3.945
2015-03-31,376.25,3.7625
2015-04-01,381.75,3.8175
2015-04-02,386.5,3.865
2015-04-06,385,3.85
2015-04-07,383,3.83
2015-04-08,379.25,3.7925
2015-04-09,378,3.78
2015-04-10,377,3.77
2015-04-13,370.5,3.705
2015-04-14,373.5,3.735
2015-04-15,376,3.76
2015-04-16,376.25,3.7625
2015-04-17,379.75,3.7975
2015-04-20,378,3.78
2015-04-21,373,3.73
2015-04-22,372.5,3.725
2015-04-23,370.75,3.7075
2015-04-24,364.5,3.645
2015-04-27,360.75,3.6075
2015-04-28,361,3.61
2015-04-29,363.75,3.6375
2015-04-30,362.5,3.625
2015-05-01,359.75,3.5975
2015-05-04,358.75,3.5875
2015-05-05,361.25,3.6125
2015-05-06,366.5,3.665
2015-05-07,357.75,3.5775
2015-05-08,358.5,3.585
2015-05-11,358.25,3.5825
2015-05-12,357,3.57
2015-05-13,356,3.56
2015-05-14,361,3.61
2015-05-15,365.5,3.655
2015-05-18,368,3.68
2015-05-19,362,3.62
2015-05-20,360,3.6
2015-05-21,365,3.65
2015-05-22,360,3.6
2015-05-26,355,3.55
2015-05-27,349.5,3.495
2015-05-28,353.5,3.535
2015-05-29,351.5,3.515
2015-06-01,352.25,3.5225
2015-06-02,359,3.59
2015-06-03,359,3.59
2015-06-04,363.5,3.635
2015-06-05,360.5,3.605
2015-06-08,365.25,3.6525
2015-06-09,365,3.65
2015-06-10,357.25,3.5725
2015-06-11,356.5,3.565
2015-06-12,353,3.53
2015-06-15,348.25,3.4825
2015-06-16,354,3.54
2015-06-17,359.25,3.5925
2015-06-18,358,3.58
2015-06-19,353.25,3.5325
2015-06-22,360,3.6
2015-06-23,367.5,3.675
2015-06-24,366.5,3.665
2015-06-25,376.5,3.765
2015-06-26,385,3.85
2015-06-29,383.25,3.8325
2015-06-30,414,4.14
2015-07-01,413.75,4.1375
2015-07-02,419.75,4.1975
2015-07-06,418.5,4.185
2015-07-07,415.75,4.1575
2015-07-08,416.25,4.1625
2015-07-09,421.25,4.2125
2015-07-10,427.25,4.2725
2015-07-13,433.5,4.335
2015-07-14,424,4.24
2015-07-15,429.5,4.295
2015-07-16,430,4.3
2015-07-17,420.25,4.2025
2015-07-20,405,4.05
2015-07-21,406.5,4.065
2015-07-22,402.75,4.0275
2015-07-23,403.25,4.0325
2015-07-24,392.5,3.925
2015-07-27,373,3.73
2015-07-28,375,3.75
2015-07-29,367.75,3.6775
2015-07-30,373.25,3.7325
2015-07-31,371,3.71
2015-08-03,366.5,3.665
2015-08-04,368.75,3.6875
2015-08-05,372.75,3.7275
2015-08-06,369.75,3.6975
2015-08-07,372.75,3.7275
2015-08-10,390.25,3.9025
2015-08-11,376.5,3.765
2015-08-12,357.25,3.5725
2015-08-13,363.75,3.6375
2015-08-14,364,3.64
2015-08-17,363.25,3.6325
2015-08-18,366.25,3.6625
2015-08-19,367.25,3.6725
2015-08-20,371,3.71
2015-08-21,365.25,3.6525
2015-08-24,368.75,3.6875
2015-08-25,365.5,3.655
2015-08-26,361.75,3.6175
2015-08-27,363.75,3.6375
2015-08-28,363.25,3.6325
2015-08-31,363.75,3.6375
2015-09-01,356,3.56
2015-09-02,354,3.54
2015-09-03,347.75,3.4775
2015-09-04,349.5,3.495
2015-09-08,355,3.55
2015-09-09,356.5,3.565
2015-09-10,361.75,3.6175
2015-09-11,374.5,3.745
2015-09-14,379,3.79
2015-09-15,390.5,3.905
2015-09-16,386,3.86
2015-09-17,379.75,3.7975
2015-09-18,377.25,3.7725
2015-09-21,384.5,3.845
2015-09-22,380.5,3.805
2015-09-23,383.25,3.8325
2015-09-24,381.5,3.815
2015-09-25,389,3.89
2015-09-28,386.75,3.8675
2015-09-29,389,3.89
2015-09-30,387.75,3.8775
2015-10-01,388.75,3.8875
2015-10-02,389.25,3.8925
2015-10-05,393.5,3.935
2015-10-06,398.25,3.9825
2015-10-07,395.75,3.9575
2015-10-08,391.25,3.9125
2015-10-09,382.75,3.8275
2015-10-12,380.75,3.8075
2015-10-13,384.5,3.845
2015-10-14,379,3.79
2015-10-15,375.5,3.755
2015-10-16,376.75,3.7675
2015-10-19,373,3.73
2015-10-20,376.75,3.7675
2015-10-21,380.75,3.8075
2015-10-22,378.25,3.7825
2015-10-23,379.75,3.7975
2015-10-26,384.5,3.845
2015-10-27,380,3.8
2015-10-28,376,3.76
2015-10-29,380,3.8
2015-10-30,382.25,3.8225
2015-11-02,376.5,3.765
2015-11-03,380.5,3.805
2015-11-04,380.5,3.805
2015-11-05,374.5,3.745
2015-11-06,373,3.73
2015-11-09,366.75,3.6675
2015-11-10,359,3.59
2015-11-11,362.25,3.6225
2015-11-12,362,3.62
2015-11-13,358.25,3.5825
2015-11-16,360,3.6
2015-11-17,362,3.62
2015-11-18,361.75,3.6175
2015-11-19,364.25,3.6425
2015-11-20,363.25,3.6325
2015-11-23,367.25,3.6725
2015-11-24,364.25,3.6425
2015-11-25,366,3.66
2015-11-27,359.25,3.5925
2015-11-30,365,3.65
2015-12-01,367,3.67
2015-12-02,364,3.64
2015-12-03,370.25,3.7025
2015-12-04,376.25,3.7625
2015-12-07,368.5,3.685
2015-12-08,370,3.7
2015-12-09,371.75,3.7175
2015-12-10,377.25,3.7725
2015-12-11,373,3.73
2015-12-14,381.75,3.8175
2015-12-15,377.25,3.7725
2015-12-16,369.75,3.6975
2015-12-17,374.25,3.7425
2015-12-18,374.5,3.745
2015-12-21,372,3.72
2015-12-22,366.25,3.6625
2015-12-23,365.5,3.655
2015-12-24,364.5,3.645
2015-12-28,361,3.61
2015-12-29,362.5,3.625
2015-12-30,359,3.59
2015-12-31,358.75,3.5875
2016-01-04,351.5,3.515
2016-01-05,353,3.53
2016-01-06,353.25,3.5325
2016-01-07,353,3.53
2016-01-08,357,3.57
2016-01-11,351.75,3.5175
2016-01-12,356.75,3.5675
2016-01-13,358,3.58
2016-01-14,358,3.58
2016-01-15,363.25,3.6325
2016-01-19,367.75,3.6775
2016-01-20,368.75,3.6875
2016-01-21,367,3.67
2016-01-22,370.25,3.7025
2016-01-25,369.75,3.6975
2016-01-26,369.25,3.6925
2016-01-27,369.25,3.6925
2016-01-28,365.5,3.655
2016-01-29,372,3.72
2016-02-01,371.25,3.7125
2016-02-02,372.5,3.725
2016-02-03,371,3.71
