"marketing_year","beginning_stocks","production","imports","feed_residual","ethanol","fsi_other","exports","ending_stocks","total_use","stocks_to_use","avg_farm_price","data_quality","fitted_price","residual"
"2006/07",1967,10534,12,5601,2119,1364,2125,1304,11209,11.6,3.04,"compiled_estimate_verify",4.50918952618454,-1.46918952618454
"2022/23",1377,13519,35,5450,5176,1280,1665,1360,13571,10,6.54,"compiled_estimate_verify",5.09173316708229,1.44826683291771
"2020/21",1919,14082,24,5843,5033,1414,2500,1235,14790,8.4,4.53,"compiled_estimate_verify",5.67427680798005,-1.14427680798005
"2023/24",1360,15562,25,5800,5480,1305,2200,2162,14785,14.6,4.55,"compiled_estimate_verify",3.41692019950124,1.13307980049876
"2012/13",989,10703,160,4315,4648,1338,730,821,11031,7.4,6.89,"compiled_estimate_verify",6.03836658354115,0.851633416458855
"2024/25",2162,14867,25,5903,5480,1425,2650,1596,15458,10.3,4.3,"compiled_estimate_verify",4.98250623441396,-0.682506234413963
"2021/22",1235,14927,20,5625,5300,1430,2450,1377,14805,9.3,6,"compiled_estimate_verify",5.34659600997506,0.653403990024939
"2015/16",1731,13614,67,5125,5224,1428,1898,1737,13675,12.7,3.61,"compiled_estimate_verify",4.10869077306733,-0.49869077306733
"2014/15",1731,13727,32,5300,5175,1420,1864,1731,13759,12.6,3.7,"compiled_estimate_verify",4.14509975062344,-0.445099750623439
"2010/11",1708,12320,12,4795,5019,1264,1834,1128,12912,8.7,5.18,"compiled_estimate_verify",5.56504987531172,-0.38504987531172
"2011/12",1128,12281,29,4557,5000,1349,1543,989,12449,7.9,6.22,"compiled_estimate_verify",5.8563216957606,0.363678304239403
"2005/06",2114,11099,10,6155,1603,1355,2143,1967,11256,17.5,2,"compiled_estimate_verify",2.36105985037406,-0.361059850374062
"2008/09",1624,12145,14,5182,3709,1370,1849,1673,12110,13.8,4.06,"compiled_estimate_verify",3.70819201995012,0.351807980049878
"2026/27",2020,16000,25,6100,5600,1355,3200,1790,16255,11,4.4,"WASDE_July_2026",4.72764339152119,-0.327643391521194
"2013/14",821,14626,36,5288,5124,1420,1920,1731,13752,12.6,4.46,"compiled_estimate_verify",4.14509975062344,0.314900249376561
"2016/17",1737,15214,57,5525,5432,1465,2293,2293,14715,15.6,3.36,"compiled_estimate_verify",3.05283042394015,0.307169576059853
"2009/10",1673,12750,8,5125,4591,1358,1649,1708,12723,13.4,3.55,"compiled_estimate_verify",3.85382793017456,-0.303827930174561
"2018/19",2140,14939,25,5375,5605,1465,2438,2221,14883,14.9,3.61,"compiled_estimate_verify",3.30769326683291,0.302306733167085
"2025/26",1596,17021,28,6350,5550,1400,3325,2020,16625,12.2,4.15,"WASDE_July_2026",4.29073566084788,-0.140735660847878
"2017/18",2293,14562,40,5350,5525,1442,2438,2140,14755,14.5,3.36,"compiled_estimate_verify",3.45332917705735,-0.0933291770573539
"2007/08",1304,13092,20,5913,3049,1393,2437,1624,12792,12.7,4.2,"compiled_estimate_verify",4.10869077306733,0.0913092269326707
"2019/20",2221,13120,30,5375,4885,1417,1775,1919,13452,14.3,3.56,"compiled_estimate_verify",3.52614713216957,0.0338528678304271
