"date","ethanol_usd_gal","ddgs_usd_ton","cornoil_usd_lb","corn_usd","ethanol_rev","ddgs_rev","cornoil_rev","crush_margin"
2015-01-01,1.502,137.8,0.44,3.881,4.2056,1.1024,0.264,1.691
2015-02-01,1.497,137.5,0.439,3.83684210526316,4.1916,1.1,0.2634,1.71815789473684
2015-03-01,1.5,138.6,0.439,3.82943181818182,4.2,1.1088,0.2634,1.74276818181818
2015-04-01,1.5,136.2,0.437,3.73964285714286,4.2,1.0896,0.2622,1.81215714285714
2015-05-01,1.486,134.8,0.436,3.592375,4.1608,1.0784,0.2616,1.908425
2015-06-01,1.489,135.6,0.436,3.64397727272727,4.1692,1.0848,0.2616,1.87162272727273
2015-07-01,1.535,140.7,0.444,4.06352272727273,4.298,1.1256,0.2664,1.62647727272727
2015-08-01,1.505,135.5,0.437,3.67714285714286,4.214,1.084,0.2622,1.88305714285714
2015-09-01,1.508,135,0.438,3.73797619047619,4.2224,1.08,0.2628,1.82722380952381
2015-10-01,1.519,136.4,0.439,3.83056818181818,4.2532,1.0912,0.2634,1.77723181818182
2015-11-01,1.501,134.9,0.437,3.663125,4.2028,1.0792,0.2622,1.881075
2015-12-01,1.502,135.5,0.437,3.69318181818182,4.2056,1.084,0.2622,1.85861818181818
2016-01-01,1.496,135,0.436,3.61842105263158,4.1888,1.08,0.2616,1.91197894736842
2016-02-01,1.487,134.5,0.436,3.63275,4.1636,1.076,0.2616,1.86845
2016-03-01,1.478,134.8,0.435,3.63488636363636,4.1384,1.0784,0.261,1.84291363636364
2016-04-01,1.483,136,0.437,3.72678571428571,4.1524,1.088,0.2622,1.77581428571429
2016-05-01,1.492,137.1,0.44,3.89416666666667,4.1776,1.0968,0.264,1.64423333333333
2016-06-01,1.512,141,0.444,4.10261363636364,4.2336,1.128,0.2664,1.52538636363636
2016-07-01,1.449,134.4,0.432,3.433,4.0572,1.0752,0.2592,1.9586
2016-08-01,1.423,131.2,0.429,3.2304347826087,3.9844,1.0496,0.2574,2.0609652173913
2016-09-01,1.436,132.4,0.43,3.28904761904762,4.0208,1.0592,0.258,2.04895238095238
2016-10-01,1.453,133.7,0.434,3.498,4.0684,1.0696,0.2604,1.9004
2016-11-01,1.45,133.9,0.433,3.452125,4.06,1.0712,0.2598,1.938875
2016-12-01,1.446,135.4,0.434,3.49678571428571,4.0488,1.0832,0.2604,1.89561428571429
2017-01-01,1.454,136,0.436,3.618125,4.0712,1.088,0.2616,1.802675
2017-02-01,1.461,137.6,0.438,3.69210526315789,4.0908,1.1008,0.2628,1.76229473684211
