"date","ethanol_usd_gal","ddgs_usd_ton","cornoil_usd_lb","corn_usd"
2015-01-01,1.502,137.8,0.44,3.881
2015-02-01,1.497,137.5,0.439,3.83684210526316
2015-03-01,1.5,138.6,0.439,3.82943181818182
2015-04-01,1.5,136.2,0.437,3.73964285714286
2015-05-01,1.486,134.8,0.436,3.592375
2015-06-01,1.489,135.6,0.436,3.64397727272727
2015-07-01,1.535,140.7,0.444,4.06352272727273
2015-08-01,1.505,135.5,0.437,3.67714285714286
2015-09-01,1.508,135,0.438,3.73797619047619
2015-10-01,1.519,136.4,0.439,3.83056818181818
2015-11-01,1.501,134.9,0.437,3.663125
2015-12-01,1.502,135.5,0.437,3.69318181818182
2016-01-01,1.496,135,0.436,3.61842105263158
2016-02-01,1.487,134.5,0.436,3.63275
2016-03-01,1.478,134.8,0.435,3.63488636363636
2016-04-01,1.483,136,0.437,3.72678571428571
2016-05-01,1.492,137.1,0.44,3.89416666666667
2016-06-01,1.512,141,0.444,4.10261363636364
2016-07-01,1.449,134.4,0.432,3.433
2016-08-01,1.423,131.2,0.429,3.2304347826087
2016-09-01,1.436,132.4,0.43,3.28904761904762
2016-10-01,1.453,133.7,0.434,3.498
2016-11-01,1.45,133.9,0.433,3.452125
2016-12-01,1.446,135.4,0.434,3.49678571428571
2017-01-01,1.454,136,0.436,3.618125
2017-02-01,1.461,137.6,0.438,3.69210526315789
2017-03-01,1.449,137.3,0.436,3.62782608695652
2017-04-01,1.451,138.1,0.437,3.63013157894737
2017-05-01,1.451,140.2,0.438,3.66613636363636
2017-06-01,1.455,140.5,0.438,3.72284090909091
2017-07-01,1.456,140.4,0.44,3.776
2017-08-01,1.444,137,0.435,3.53119565217391
2017-09-01,1.44,135.8,0.434,3.4795
2017-10-01,1.435,135.8,0.435,3.49386363636364
2017-11-01,1.434,135.5,0.434,3.43178571428571
2017-12-01,1.429,135.9,0.435,3.4455
2018-01-01,1.437,137.5,0.437,3.5272619047619
2018-02-01,1.438,138.9,0.439,3.65921052631579
2018-03-01,1.443,141.7,0.442,3.79607142857143
2018-04-01,1.449,142,0.443,3.85488095238095
2018-05-01,1.465,145.8,0.445,3.98227272727273
2018-06-01,1.436,142.9,0.439,3.64869047619048
