date,ethanol_usd_gal,ddgs_usd_ton,cornoil_usd_lb
2015-01-01,1.502,137.8,0.44
2015-02-01,1.497,137.5,0.439
2015-03-01,1.5,138.6,0.439
2015-04-01,1.5,136.2,0.437
2015-05-01,1.486,134.8,0.436
2015-06-01,1.489,135.6,0.436
2015-07-01,1.535,140.7,0.444
2015-08-01,1.505,135.5,0.437
2015-09-01,1.508,135.0,0.438
2015-10-01,1.519,136.4,0.439
2015-11-01,1.501,134.9,0.437
2015-12-01,1.502,135.5,0.437
2016-01-01,1.496,135.0,0.436
2016-02-01,1.487,134.5,0.436
2016-03-01,1.478,134.8,0.435
2016-04-01,1.483,136.0,0.437
2016-05-01,1.492,137.1,0.44
2016-06-01,1.512,141.0,0.444
2016-07-01,1.449,134.4,0.432
2016-08-01,1.423,131.2,0.429
2016-09-01,1.436,132.4,0.43
2016-10-01,1.453,133.7,0.434
2016-11-01,1.45,133.9,0.433
2016-12-01,1.446,135.4,0.434
2017-01-01,1.454,136.0,0.436
2017-02-01,1.461,137.6,0.438
2017-03-01,1.449,137.3,0.436
2017-04-01,1.451,138.1,0.437
2017-05-01,1.451,140.2,0.438
2017-06-01,1.455,140.5,0.438
2017-07-01,1.456,140.4,0.44
2017-08-01,1.444,137.0,0.435
2017-09-01,1.44,135.8,0.434
2017-10-01,1.435,135.8,0.435
2017-11-01,1.434,135.5,0.434
2017-12-01,1.429,135.9,0.435
2018-01-01,1.437,137.5,0.437
2018-02-01,1.438,138.9,0.439
2018-03-01,1.443,141.7,0.442
2018-04-01,1.449,142.0,0.443
2018-05-01,1.465,145.8,0.445
2018-06-01,1.436,142.9,0.439
2018-07-01,1.422,140.4,0.436
2018-08-01,1.428,140.4,0.438
2018-09-01,1.415,140.3,0.437
2018-10-01,1.425,141.7,0.44
2018-11-01,1.42,142.1,0.44
2018-12-01,1.434,143.5,0.441
2019-01-01,1.439,143.8,0.442
2019-02-01,1.425,142.6,0.441
2019-03-01,1.421,140.4,0.44
2019-04-01,1.411,139.1,0.439
2019-05-01,1.427,142.2,0.443
2019-06-01,1.479,148.2,0.452
2019-07-01,1.477,146.2,0.451
2019-08-01,1.437,141.0,0.442
2019-09-01,1.421,139.9,0.44
2019-10-01,1.443,142.0,0.444
2019-11-01,1.431,140.5,0.441
2019-12-01,1.44,141.0,0.442
2020-01-01,1.444,140.8,0.443
2020-02-01,1.436,140.2,0.442
2020-03-01,1.414,138.9,0.438
2020-04-01,1.374,135.7,0.432
2020-05-01,1.376,136.4,0.431
2020-06-01,1.391,136.1,0.433
2020-07-01,1.395,135.8,0.433
2020-08-01,1.394,135.5,0.432
2020-09-01,1.429,139.9,0.438
2020-10-01,1.457,144.2,0.444
2020-11-01,1.474,149.4,0.447
2020-12-01,1.5,152.0,0.45
2021-01-01,1.57,161.5,0.464
2021-02-01,1.609,166.0,0.471
2021-03-01,1.597,166.9,0.472
2021-04-01,1.657,173.3,0.483
2021-05-01,1.729,182.5,0.497
2021-06-01,1.705,179.2,0.492
2021-07-01,1.647,171.9,0.48
2021-08-01,1.59,165.9,0.471
2021-09-01,1.559,162.4,0.465
2021-10-01,1.577,166.4,0.468
2021-11-01,1.615,168.3,0.474
2021-12-01,1.63,171.1,0.478
2022-01-01,1.641,171.5,0.482
2022-02-01,1.675,175.4,0.489
2022-03-01,1.765,186.6,0.506
2022-04-01,1.801,190.8,0.513
2022-05-01,1.8,190.1,0.513
2022-06-01,1.776,186.2,0.508
2022-07-01,1.693,176.8,0.491
2022-08-01,1.671,172.9,0.486
2022-09-01,1.711,178.3,0.494
2022-10-01,1.712,178.8,0.495
2022-11-01,1.695,176.3,0.493
2022-12-01,1.672,176.4,0.49
2023-01-01,1.691,179.1,0.494
2023-02-01,1.693,177.3,0.494
2023-03-01,1.663,173.9,0.489
2023-04-01,1.677,175.2,0.492
2023-05-01,1.629,171.1,0.485
2023-06-01,1.632,171.1,0.485
2023-07-01,1.572,163.9,0.473
2023-08-01,1.504,156.7,0.46
2023-09-01,1.501,157.3,0.459
2023-10-01,1.516,157.7,0.461
2023-11-01,1.509,155.3,0.458
2023-12-01,1.51,155.0,0.458
2024-01-01,1.497,152.6,0.455
2024-02-01,1.471,151.2,0.451
2024-03-01,1.466,152.2,0.452
2024-04-01,1.471,151.6,0.453
2024-05-01,1.488,154.5,0.456
2024-06-01,1.488,154.8,0.453
2024-07-01,1.451,151.4,0.446
2024-08-01,1.434,147.8,0.443
2024-09-01,1.455,149.8,0.447
2024-10-01,1.462,152.6,0.45
2024-11-01,1.475,152.8,0.451
2024-12-01,1.493,154.8,0.454
2025-01-01,1.528,159.3,0.46
2025-02-01,1.534,159.8,0.463
2025-03-01,1.512,156.2,0.456
2025-04-01,1.522,155.3,0.459
2025-05-01,1.504,151.8,0.455
2025-06-01,1.499,149.7,0.452
2025-07-01,1.472,145.9,0.447
2025-08-01,1.45,145.0,0.444
2025-09-01,1.476,146.9,0.448
2025-10-01,1.481,147.4,0.45
2025-11-01,1.481,148.5,0.452
2025-12-01,1.489,150.7,0.453
2026-01-01,1.475,148.5,0.452
2026-02-01,1.477,149.4,0.451
2026-03-01,1.491,151.8,0.455
2026-04-01,1.5,150.9,0.455
2026-05-01,1.504,152.3,0.457
2026-06-01,1.464,147.9,0.449
2026-07-01,1.492,150.2,0.454
